,RestaurantName
669,Mandarin Oak- The Heavenly Chinese
670,Kokan vaibhav
671,MIDNIGHT CAFE
672,Chole Bhature And Parathas
673,Bongs Roll House
674,Burger King
675,MEAL BOX
676,Assal Biryani
677,Kebab Bites
678,KGN Xprs (Hinjewadi)
679,1304 FOOD BAR
680,Around The World-Grand Tamanna Hotel
681,The Belgian Waffle Co.
682,Biryani By Mezza9
683,Indian Bowl Company
684,Cake Choice Multi Bakers & Confectioners
685,T3M cafe n bar
686,Hotel The Skypiea
687,DOSTI KATTA BIRYANI & SNAKE CENTER
688,Holiday Inn Express
689,Zaika
690,Hotel Madhuban Garden Resto & Bar
691,Bikaner sweets
692,Grameen Kulfi
693,Courtyard by Marriott
694,Hyderabad House (Phase 1)
695,Star 1 Cakes
696,Cheer Sandwich and Fries
697,McDonald's
698,NIC Natural Ice Creams
699,PAPACREAM
700,The Bangs
701,THE HOME OF BIRYANI
702,Oaramehas Cake Shop
703,Blueberry Foods
704,Sweet Truth - Cake and Desserts
705,Ferns Npetals
706,Oven Story Pizza
707,Behrouz Biryani
708,Tarsh Kitchen & Bar
709,Mezza 9
710,Karolbaug The Dhaba
711,Roll Story
712,Spice It by IBIS
713,BIRYANI BADSHAH
714,Maharaja. 11
715,Rajmudra Biryani House
716,The Taste Of Capital
717,EXPRESS BY AB'S
718,Hotel Malhar
719,Absolute Punjab
720,Pizza Hut
721,Classifood Traditional Taste
722,DESI INDORI DHABA
723,BIKKGANE BIRYANI
724,Saundarya Garden
725,Bunee Heist
726,Ancient Hyderabad
727,CAFE DURGA
728,Hotel Shivsankar
729,AB s-Absolute Barbecues
730,Ghar ka Dabba@69
731,RAQABDAARS
732,ZAZA 22 Spice Biryani
733,Domino's Pizza
734,Arabian Mandi
735,Old Spice
736,vrundavan veg restaurant
737,Natural Ice Cream
738,DESI HANDI
739,Reddy's Biryani Zone
740,Ammbiir
741,Royal rolls 
742,HOTEL SWARAJ
743,Tamanna Executive
744,ZAFFRANS
745,McDonald's Gourmet Burger Collection
746,HOTEL RAJYOG
747,JALANDHAR KA SWAAD
748,SAIRAJ ROLLS HOUSE
749,Hotel Swarajya Biryani House
750,NH1 Bowls - Highway To North
751,TASTE OF MALVAN
752,Biryani Check
753,Ice Cream Works
754,Kekiz The Cake Shop
755,Thali Central
756,THE GREAT PUNJABI PARATHAS
757,The Js Pizza
758,A1 Biryani House
759,PIZZA STORY
760,The Biryani Experiment
761,Sampoorna
762,COFFEE & SHAKES PLUS
763,Spare Time Bhatia Da Dhaba
764,Wagh Bakri Tea Lounge
765,Mughal Mahal
766,Spice Factory
767,SnackEat
768,THIKANA
769,Hyderabad Darbar
770,Hotel Grand Malhar
771,Dum Fook
772,AWDHI AROMA
773,Bowl Up !
774,The Good Bowl
775,Dilli di Rasoi
776,That Pizza Place
777,FLAVOURS OF ANDHRA
778,WONDER BITE
779,Chinese Hut
780,Pet Pujari Restaurant
781,LeanCrust Pizza - ThinCrust Experts
782,24/7 Gallery Cafe By Hyatt Place
783,Swiss Delights
784,Satguru's Punjabi Rasoi
785,WRAP AND ROLL
786,ANNAPURNA KITCHEN
787,Itminaan Biryani - Dum Pukht
788,H2O Sportsbar And Rooftop
789,Kava Kitchen - Fairfield by Marriott
790,Kwality Walls Frozen Dessert and Ice Cream Shop
791,ZAZA 22 Spice Biryani
792,Laziz Biryani Shop
793,Meals101
794,Oven & Grill
795,Biryani House
796,Global Ninja (by Global Punjab)
797,Barista
798,Bapu thali
799,Hyderabadi Zaika
800,KIMLING XPS
801,Dilbaro
802,Copper Chocs
803,Pure Veg Meals by Lunchbox
804,The wrap co
805,HYDERABADI BIRYANI PLACE
806,Martini Bar And Kitchen
807,Yess Pizza
808,amritsari spices
809,Eagle Brother's Pizza
810,Satguru's Punjabi Rasoi
811,The7A
812,OYE KAKKE BY SPICE FACTORY
813,B.Y.O.B RESTO LOUNGE
814,Fly High
815,Khao Piyo Junction
816,Kwality Restaurant
817,Biryani By Kilo
818,Sardarji Food
819,Sultan's Biryani and Kebab
820,Italian cafe
821,Chakrapani Bhel And Tea
822,Hyderabad Darbar
823,Sai Foods (Homemade food)
824,Rasoi Ghar Ka Swaad
825,Hyderabadi Royal Biryani
826,BK SANDWICH PIZZA AND PASTA
827,Healthy Bowls
828,Hashtag Thali
829,Hotel Rajasthani Rasoi
830,Shaukeen Paan Kharadi
831,Art Of Pasta
832,Super Biryani House And Caterers
833,Sri Durrga Hotel
834,CHOW EXPRESS
835,Pind Da Tadka
836,Tawa Street
837,Sky High-The Club
838,Domino's Pizza
839,JAY MALHAR HOTEL
840,Aha! Baangali
841,Rayalaseema Reddy's  Family Restaurant
842,CAFE KATTA
843,The Biryani Factory
844,Dawate Darbar Biryani
845,Swad Fish House
846,Reddys Restaurant eon
847,Natural Ice Cream
848,Ice Creamery - Milkshakes & Icecreams
849,Biryani Trip
850,Shanghai- The Chinese World
851,Godavari Ruchulu
852,Rachel Foods
853,Chitale Xpress - Kharadi
854,Pork English Farm Meat Eat
855,Paratha Envy
856,Swastik Pure Veg
857,Global Punjab
858,Paramhans pure veg
859,Bread Story
860,KHICHDI ETC
861,HOTEL YASH
862,THE BAWARCHI BIRYANI AND KEBAB
863,Kapila Resorts
864,Sher E Punjab
865,Chalu Chinese
866,THE BIRYANI JUNCTION
867,FROZEN/FRESH/REAL GOOD/ FISHPRAWNS
868,OM SWEETS
869,Sweet Truth - Cake and Desserts
870,HOTEL SAHARA VEG AND NON VEG
871,hotel new vaishali
872,Leaf Restaurant
873,RocoMamas
874,The Good Bowl
875,Sampooornanand Pure Veg
876,Namaste Khichdi
877,Torna Mutton Khanawal
878,Aroma's biryani by reddys
879,The Paratha Singh
880,NH1 Bowls - Highway To North
881,Biryani Blast
882,Itminaan Biryani - Dum Pukht
883,Pizza Hut
884,The Chinese Dragon
885,Salad Men
886,Babus Kitchen
887,Starbucks Coffee
888,Texas Tower
889,Omkar Chinese Center
890,DRINX EXCHANGE
891,Thalis & Bowls
892,Indian Bowl Company
893,LeanCrust Pizza - ThinCrust Experts
894,Belly Tales
895,BIRYANI CHEF BY REDDYS
896,SHAWARMA KING
897,Anna Vada
898,Radhika- Flavours of East
899,ALL IN ONE BIRYANI SHOP
900,THE BIRYANI NATION
901,Oven Story Pizza
902,Behrouz Biryani
903,MEAL BOX HYDERABADI BIRYANI
904,AROMA PARADISE
905,Shamiana
906,Malaka Spice
907,Baatiwala
908,Chai Shai
909,Bullet Biryani
910,Kalimiri
911,Anna idli and snacks
912,Red Chillies Multi Cuisine
913,Won China
914,DAILY  FRESH
915,RAYALASEEMA REDDYS FAMILY RESTAURANT
916,Shree Krishna
917,Namaste Paratha Corner
918,Desi Adda
919,Huber & Holly
920,Foodie
921,LALAJI KA HOTEL
922,THE KOLKATAS BIRYANI AND KEBAB
923,Mr. Dosa
924,A1 VIP FOOD SERVICE
925,Burger King House
926,Mandarin Oak- The Heavenly Chinese
927,Swadisht Punjab
928,Doodle Chinese Chang
929,NIZAM E ZAYKA
930,Spice 24
931,APNA HYDERABADI BIRYANI HOUSE
932,Big Reddy's
933,Mocha
934,Junoon restaurant
935,American Ration
936,Toit
937,Chafa Cafe and Studio
938,Pinxx - Hotel Royal Orchid Central
939,Barbeque Nation
940,The Chilika Restaurant
941,Biryani Blast
942,Copper Chocs
943,CAFE BASO
944,Hapaa - Asian Stir
945,Kerala cafe
946,The Bounty Sizzlers
947,Sassy Teaspoon
948,House of Foodies
949,Baan Tao by Hyatt - Kalyani Nagar
950,DRUNKEN MONKEY
951,The French Window Patisserie
952,Bottle Forest
953,ONE - Restaurant & Bar
954,Huber & Holly
955,Eighty Eight by Hyatt - Kalyani Nagar
956,Kasba- Royal Orchid Golden Suite
957,Shree Inn
958,McDonald's Gourmet Burger Collection
959,Elephant & Co.
960,Moshi Moshi
961,Zayk-e-Awadh
962,Hie-Foo
963,Carnival Restaurant & Bar
964,Tvum
965,Mineority By Saby
966,Domino's Pizza
967,Murphies
968,Arthur's Theme
969,The Greedy Man Pizzeria
970,Kangan - The Westin
971,The Market- The Westin Pune
972,Daily Treats - The Westin
973,The Sassy Spoon
974,Pergola Kitchen And Bar
975,Immuneaty
976,Blue Shack
977,Hot Tadka Restaurant
978,THE CUE BAR AND CORNER SHOT
979,RocoMamas
980,Squisito
981,Kolkata Kitchen
982,EDP Restaurant
983,GATEWAY TO CHINA
984,Flavours Of China & Lebanon
985,Mumbai Darbaar
986,Immuneaty
987,Dime N Dine
988,China Grill
989,Waffle N Shake
990,Paul's
991,Swad Punjab Da
992,Kabul Restaurant
993,South Samrat Pure Veg 
994,Thanco's Natural Ice Cream
995,GOLDEN CAKES
996,Itminaan Biryani - Dum Pukht
997,Celestine Multi Cuisine Restaurant
998,Lahori Tadka
999,Hotel New Luqmaa
1000,Mohan ice cream
1001,BIG BURGER BAR
1002,HOUSE OF ZA
1003,Sufi's
1004,Fit Food Company
1005,Marasim
1006,BANARASIYA
1007,LONDON DAIRY
1008,SUGREN HOMEMADE NON VEG
1009,Green Court Resto N Bar
1010,Baker's Basket
1011,Al Hayat Hotel
1012,Fabio Food Court
1013,Green Sampan
1014,Shee Chinese
1015,PIZZATTO'S
1016,Kebstha
1017,Rasoi Punjab
1018,Riya Pure Veg Family Restaurant
1019,Hotel Jijau- Kondhwa
1020,Effingut 2 Go
1021,Royal Darbar
1022,SADGURU KRUPA CHINESE AND MOMOS
1023,Signature
1024,Dragon Fire
1025,Hotel Angaraj
1026,Krabi Town - The Oriental Restaurant
1027,NIZAMS BIRYANI
1028,Dawat Restaurant
1029,AL SABA MAC MINO WAY
1030,Hotel Real Taste
1031,McDonald's
1032,Grub Jars
1033,Deccan Darbar
1034,Cafe 7
1035,Little Italy
1036,Lazeez fast food
1037,Bliss Bistro - Chula
1038,Ya Habibi Fatayer
1039,Big Brother's Biryani
1040,Nothing But Chicken
1041,Arabian Grills
1042,Mamio's Kitchen
1043,CakeZone
1044,Hotel AL Madeena
1045,NIC Natural Ice Creams
1046,Peter's Pan
1047,Vicki's
1048,PROPER PAKODA
1049,FLower Aura
1050,Doux Voyage
